Team ID,Team Name,League,Player ID,Player Name,Position,Position Rank,Height,Weight,overall_rating,potential_rating,stat
6,Atlético de Madrid,Spain Primera Division,7,João Félix,Center Attacking Midfielder,#7,61.32,159,83,89,"2,101"
6,Atlético de Madrid,Spain Primera Division,8,J. Giménez,Center Back,#2,73.2,174,83,85,"1,829"
6,Atlético de Madrid,Spain Primera Division,9,Thomas Lemar,Center Attacking Midfielder,#11,68.4,146,83,84,"2,214"
6,Atlético de Madrid,Spain Primera Division,10,Koke,Center Midfielder,#6,70.8,165,83,83,"2,183"
6,Atlético de Madrid,Spain Primera Division,11,Ángel Correa,Center Forward,#10,68.4,154,83,83,"2,146"
6,Atlético de Madrid,Spain Primera Division,12,Morata,Striker,#19,75.6,185,82,82,"1,951"
6,Atlético de Madrid,Spain Primera Division,13,Mario Hermoso,Center Back,#22,72,168,81,82,"1,992"
6,Atlético de Madrid,Spain Primera Division,14,G. Kondogbia,Center Defensive Midfielder,#4,74.4,168,81,81,"2,180"
6,Atlético de Madrid,Spain Primera Division,15,Nahuel Molina,Right Wing Back,#16,70.8,154,80,84,"2,069"
6,Atlético de Madrid,Spain Primera Division,16,Saúl,Center Midfielder,#17,72,165,80,80,"2,150"
6,Atlético de Madrid,Spain Primera Division,17,Reinildo,Left Back,#23,61.32,161,80,80,"2,007"
6,Atlético de Madrid,Spain Primera Division,18,Matheus Cunha,Center Attacking Midfielder,#9,72,165,79,84,"2,018"
6,Atlético de Madrid,Spain Primera Division,19,Reguilón,Left Wing Back,#3,61.2,150,79,82,"2,011"
6,Atlético de Madrid,Spain Primera Division,20,Felipe,Center Back,#18,75.6,185,79,79,"1,729"
6,Atlético de Madrid,Spain Primera Division,21,Axel Witsel,Center Defensive Midfielder,#20,73.2,179,79,79,"2,012"
6,Atlético de Madrid,Spain Primera Division,22,Ivo Grbić,Goalkeeper,#1,78,205,74,78,"1,102"
6,Atlético de Madrid,Spain Primera Division,23,Iturbe,Goalkeeper,#35,73.2,165,65,80,"1,076"
6,Atlético de Madrid,Spain Primera Division,24,Carlos Martín,Striker,#29,61.32,163,64,77,"1,645"
6,Atlético de Madrid,Spain Primera Division,25,Ethyan,Striker,#27,73.2,165,64,77,"1,594"
6,Atlético de Madrid,Spain Primera Division,26,Fran González,Center Back,#38,74.4,179,64,72,"1,395"
6,Atlético de Madrid,Spain Primera Division,27,Antonio Gomis,Goalkeeper,#31,74.4,176,63,78,"1,032"
6,Atlético de Madrid,Spain Primera Division,28,Alberto Moreno,Center Attacking Midfielder,#32,70.8,152,63,76,"1,717"
6,Atlético de Madrid,Spain Primera Division,29,Javi Cueto,Striker,#28,61.32,165,63,73,"1,598"
6,Atlético de Madrid,Spain Primera Division,30,Mini,Center Defensive Midfielder,#33,70.8,157,63,70,"1,719"
6,Atlético de Madrid,Spain Primera Division,31,Marco Moreno,Center Back,#36,75.6,172,62,74,"1,401"
6,Atlético de Madrid,Spain Primera Division,32,Diego Bri,Center Attacking Midfielder,#34,69.6,143,61,76,"1,414"
6,Atlético de Madrid,Spain Primera Division,33,Manu Lama,Center Back,#42,73.2,181,61,73,"1,526"
7,FC Barcelona,Spain Primera Division,1,R. Lewandowski,Striker,#9,73.2,179,91,91,"2,205"
7,FC Barcelona,Spain Primera Division,2,M. ter Stegen,Goalkeeper,#1,74.4,187,88,88,"1,443"
7,FC Barcelona,Spain Primera Division,3,Frenkie de Jong,Center Midfielder,#21,61.32,163,87,90,"2,238"
7,FC Barcelona,Spain Primera Division,4,Pedri,Center Midfielder,#8,70.8,135,85,92,"2,119"
7,FC Barcelona,Spain Primera Division,5,Sergio Busquets,Center Defensive Midfielder,#5,74.4,168,85,85,"2,002"
7,FC Barcelona,Spain Primera Division,6,Memphis Depay,Center Forward,#14,70.8,172,85,85,"2,082"
7,FC Barcelona,Spain Primera Division,7,Jordi Alba,Left Back,#18,68.4,150,85,85,"2,218"
7,FC Barcelona,Spain Primera Division,8,Jules Koundé,Center Back,#23,61.32,165,84,89,"1,947"
7,FC Barcelona,Spain Primera Division,9,F. Kessié,Center Defensive Midfielder,#19,72,194,84,86,"2,206"
7,FC Barcelona,Spain Primera Division,10,O. Dembélé,Left Midfielder,#7,61.2,148,84,85,"2,011"
7,FC Barcelona,Spain Primera Division,11,Ronald Araujo,Center Back,#4,76.8,201,83,89,"1,910"
7,FC Barcelona,Spain Primera Division,12,Raphinha,Left Midfielder,#22,70.8,150,83,84,"2,129"
7,FC Barcelona,Spain Primera Division,13,Ferran Torres,Left Wing,#11,72,170,82,88,"2,030"
7,FC Barcelona,Spain Primera Division,14,A. Christensen,Center Back,#15,74.4,179,82,84,"1,796"
7,FC Barcelona,Spain Primera Division,15,Piqué,Center Back,#3,76.8,187,82,82,"1,953"
7,FC Barcelona,Spain Primera Division,16,Gavi,Center Attacking Midfielder,#30,69.6,150,80,89,"2,042"
7,FC Barcelona,Spain Primera Division,17,Sergi Roberto,Right Back,#20,61.2,150,80,80,"2,055"
7,FC Barcelona,Spain Primera Division,18,Anssumane Fati,Center Attacking Midfielder,#10,61.2,146,79,89,"1,913"
7,FC Barcelona,Spain Primera Division,19,Marcos Alonso,Left Back,#17,74.4,187,79,79,"2,143"
7,FC Barcelona,Spain Primera Division,20,Héctor Bellerín,Right Back,#2,61.2,163,78,78,"1,943"
7,FC Barcelona,Spain Primera Division,21,Balde,Left Midfielder,#28,70.8,152,77,87,"1,831"
7,FC Barcelona,Spain Primera Division,22,Dani Alves,Right Back,#6,69.6,154,77,77,"2,087"
7,FC Barcelona,Spain Primera Division,23,Eric García,Center Defensive Midfielder,#24,72,168,76,83,"1,814"
7,FC Barcelona,Spain Primera Division,24,Iñaki Peña,Goalkeeper,#26,72,172,72,80,"1,103"
7,FC Barcelona,Spain Primera Division,25,Pablo Torre,Center Attacking Midfielder,#32,69.6,139,69,85,"1,777"
7,FC Barcelona,Spain Primera Division,26,Ilias,Center Attacking Midfielder,#37,70.8,154,67,83,"1,548"
7,FC Barcelona,Spain Primera Division,27,Arnau Tenas,Goalkeeper,#36,73.2,187,67,79,"1,045"
7,FC Barcelona,Spain Primera Division,28,Roberto,Striker,#38,73.2,165,66,77,"1,671"
7,FC Barcelona,Spain Primera Division,29,Álvaro Sanz,Center Defensive Midfielder,#34,68.4,143,66,76,"1,648"
7,FC Barcelona,Spain Primera Division,30,Emre Demir,Center Attacking Midfielder,#31,70.8,146,65,79,"1,650"
7,FC Barcelona,Spain Primera Division,31,Àlex Carbonell,Center Midfielder,#27,72,161,64,68,"1,736"
7,FC Barcelona,Spain Primera Division,32,Estanis,Striker,#39,73.2,159,63,79,"1,516"
7,FC Barcelona,Spain Primera Division,33,Hiroki Abe,Right Midfielder,#35,68.4,143,63,69,"1,620"
7,FC Barcelona,Spain Primera Division,34,Fabio Blanco,Right Midfielder,#29,61.2,157,62,82,"1,499"
8,Arsenal,English Premier League,1,M. Ødegaard,Center Attacking Midfielder,#8,61.2,150,86,89,"2,138"
8,Arsenal,English Premier League,2,Bukayo Saka,Left Midfielder,#7,61.2,143,85,90,"2,173"
8,Arsenal,English Premier League,3,Thomas Partey,Center Defensive Midfielder,#5,73.2,170,85,85,"2,156"
8,Arsenal,English Premier League,4,Gabriel Jesus,Striker,#9,70.8,161,84,86,"2,108"
8,Arsenal,English Premier League,5,William Saliba,Center Back,#12,76.8,187,83,89,"1,888"
8,Arsenal,English Premier League,6,Aaron Ramsdale,Goalkeeper,#32,75.6,170,83,86,"1,414"
8,Arsenal,English Premier League,7,Gabriel Martinelli,Right Midfielder,#11,61.2,165,82,88,"2,018"
8,Arsenal,English Premier League,8,Gabriel,Center Back,#6,75.6,192,82,86,"1,748"
8,Arsenal,English Premier League,9,Granit Xhaka,Center Defensive Midfielder,#34,73.2,181,82,82,"2,048"
8,Arsenal,English Premier League,10,Kieran Tierney,Left Wing Back,#3,61.2,154,80,84,"2,081"
8,Arsenal,English Premier League,11,Benjamin White,Center Defensive Midfielder,#4,73.2,170,80,84,"1,795"
8,Arsenal,English Premier League,12,O. Zinchenko,Center Midfielder,#35,70.8,141,80,82,"2,169"
8,Arsenal,English Premier League,13,E. Smith Rowe,Center Attacking Midfielder,#10,72,159,79,86,"1,837"
8,Arsenal,English Premier League,14,T. Tomiyasu,Center Back,#18,74.4,185,78,83,"1,833"
8,Arsenal,English Premier League,15,Fábio Vieira,Center Attacking Midfielder,#21,70.8,135,77,85,"1,851"
8,Arsenal,English Premier League,16,Matt Turner,Goalkeeper,#30,75.6,174,77,79,"1,184"
8,Arsenal,English Premier League,17,Rob Holding,Center Back,#16,74.4,165,77,78,"1,696"
8,Arsenal,English Premier League,18,Mohamed Elneny,Center Defensive Midfielder,#25,61.2,159,76,76,"1,931"
8,Arsenal,English Premier League,19,A. Sambi Lokonga,Center Midfielder,#23,72,161,75,82,"1,970"
8,Arsenal,English Premier League,20,Eddie Nketiah,Striker,#14,61.32,161,75,80,"1,744"
8,Arsenal,English Premier League,21,Reiss Nelson,Right Midfielder,#24,70.8,157,74,81,"1,794"
8,Arsenal,English Premier League,22,Cédric,Right Back,#17,69.6,148,74,74,"1,985"
8,Arsenal,English Premier League,23,Marquinhos,Left Midfielder,#27,70.8,170,72,82,"1,700"
8,Arsenal,English Premier League,24,Karl Hein,Goalkeeper,#47,76.8,170,64,74,950
8,Arsenal,English Premier League,25,Matthew Smith,Center Midfielder,#46,70.8,154,64,70,"1,717"
8,Arsenal,English Premier League,26,C. Cîrjan,Center Attacking Midfielder,#53,70.8,132,62,75,"1,621"
8,Arsenal,English Premier League,27,Joel Ideho,Right Midfielder,#51,70.8,154,61,74,"1,514"
8,Arsenal,English Premier League,28,A. Cozier-Duberry,Left Midfielder,#85,68.4,132,59,77,"1,485"
8,Arsenal,English Premier League,29,Lino Sousa,Left Back,#96,73.2,154,58,77,"1,493"
9,Chelsea,English Premier League,1,N. Kanté,Center Defensive Midfielder,#7,67.2,154,87,87,"2,131"
9,Chelsea,English Premier League,2,Raheem Sterling,Left Wing,#17,68.4,152,85,85,"2,078"
9,Chelsea,English Premier League,3,Thiago Silva,Center Back,#6,72,174,85,85,"2,020"
9,Chelsea,English Premier League,4,Reece James,Right Wing Back,#24,61.2,192,84,88,"2,251"
9,Chelsea,English Premier League,5,K. Koulibaly,Center Back,#26,74.4,196,84,84,"1,890"
9,Chelsea,English Premier League,6,Jorginho,Center Midfielder,#5,61.32,150,84,84,"2,117"
9,Chelsea,English Premier League,7,Kai Havertz,Center Attacking Midfielder,#29,74.4,181,83,89,"2,051"
9,Chelsea,English Premier League,8,Édouard Mendy,Goalkeeper,#16,79.2,190,83,83,"1,210"
9,Chelsea,English Premier League,9,Mateo Kovačić,Center Midfielder,#8,70.8,176,82,82,"2,128"
9,Chelsea,English Premier League,10,Mason Mount,Center Attacking Midfielder,#19,61.32,163,81,84,"2,098"
9,Chelsea,English Premier League,11,Kepa,Goalkeeper,#1,73.2,194,81,84,"1,337"
9,Chelsea,English Premier League,12,Ben Chilwell,Left Wing Back,#21,61.32,170,81,84,"2,096"
9,Chelsea,English Premier League,13,Hakim Ziyech,Right Wing,#22,61.32,143,81,81,"2,047"
9,Chelsea,English Premier League,14,P. Aubameyang,Striker,#9,74.4,176,81,81,"1,967"
9,Chelsea,English Premier League,15,Denis Zakaria,Center Defensive Midfielder,#20,75.6,179,80,85,"2,039"
9,Chelsea,English Premier League,16,C. Pulisic,Right Midfielder,#10,61.2,152,80,84,"1,933"
9,Chelsea,English Premier League,17,Cucurella,Left Wing Back,#32,69.6,146,80,84,"2,126"
9,Chelsea,English Premier League,18,Azpilicueta,Center Back,#28,61.2,170,80,80,"2,038"
9,Chelsea,English Premier League,19,Wesley Fofana,Center Back,#33,75.6,168,79,86,"1,773"
9,Chelsea,English Premier League,20,Conor Gallagher,Center Midfielder,#23,72,170,78,85,"2,050"
9,Chelsea,English Premier League,21,R. Loftus-Cheek,Center Attacking Midfielder,#12,75.6,194,77,78,"1,987"
